Thread ID: 1139580
Total: 9.304486

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00        2  Class#new-1
  0.00      0.00     0.00     0.00     0.00        2  Gem::Dependency#version_requirements
  0.00      0.00     0.00     0.00     0.00        1  Gem::SourceIndex#find_name
  0.00      0.02     0.00     0.00     0.02        1  Gem::GemPathSearcher#init_gemspecs
  0.00      0.00     0.00     0.00     0.00        1  Array#map-1
  0.00      3.65     0.00     0.00     3.65        1  Global#[No method]
  0.00      0.00     0.00     0.00     0.00        1  Gem::Version#initialize
  0.00      0.00     0.00     0.00     0.00        1  <Module::Gem>#load_path_insert_index
  0.00      0.00     0.00     0.00     0.00        1  Gem::Requirement#initialize
  0.00      0.00     0.00     0.00     0.00        2  Regexp#===
  0.00      0.00     0.00     0.00     0.00        1  Gem::Requirement#parse
  0.00      0.00     0.00     0.00     0.00        1  <Class::Gem::Version>#correct?
  0.00      0.00     0.00     0.00     0.00        2  <Module::Gem>#source_index
  0.00      0.04     0.00     0.00     0.04        1  Gem::GemPathSearcher#initialize
  0.00      0.00     0.00     0.00     0.00        1  Gem::Specification#sort_obj
  0.00      0.00     0.00     0.00     0.00        1  Gem::Requirement#satisfied_by?
  0.00      0.00     0.00     0.00     0.00        1  Gem::Version#version=
  0.00      0.00     0.00     0.00     0.00        1  String#scan
  0.00      0.00     0.00     0.00     0.00        1  Class#inherited
  0.00      0.00     0.00     0.00     0.00        1  Gem::Requirement#normalize
  0.00      0.00     0.00     0.00     0.00        1  Gem::Version#build_array_from_version_string
  0.00      0.00     0.00     0.00     0.00        1  Proc#call
  0.00      0.00     0.00     0.00     0.00        1  Gem::SourceIndex#each
  0.00      0.00     0.00     0.00     0.00        1  <Class::File>#file?
  0.00      0.00     0.00     0.00     0.00        1  Exception#initialize
  0.00      0.04     0.00     0.00     0.04        1  Mutex#synchronize
  0.00      0.00     0.00     0.00     0.00        1  Gem::Requirement#satisfy?
  0.00      0.00     0.00     0.00     0.00        4  Kernel#freeze
  0.00      0.01     0.00     0.00     0.01        1  Gem::GemPathSearcher#find
  0.00      0.00     0.00     0.00     0.00        1  Gem::Specification#runtime_dependencies
  0.00      0.00     0.00     0.00     0.00        1  Array#index
  0.00      0.00     0.00     0.00     0.00        1  Gem::Version#to_ints
  0.00      0.00     0.00     0.00     0.00        3  String#to_i
  0.00      0.04     0.00     0.00     0.04        1  <Module::Gem>#searcher
  0.00      0.07     0.00     0.00     0.07        1  Kernel#require
  0.00      0.01     0.00     0.00     0.01        1  Enumerable#find
  0.00      0.00     0.00     0.00     0.00        1  <Module::Gem>#suffixes
  0.00      0.00     0.00     0.00     0.00        1  Kernel#respond_to?
  0.00      0.00     0.00     0.00     0.00        2  Array#last
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#sort_by
  0.00      0.00     0.00     0.00     0.00        2  String#+
  0.00      0.00     0.00     0.00     0.00        1  Comparable#==
  0.00      0.00     0.00     0.00     0.00        1  Gem::Specification#dependencies
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#all?
  0.00      0.00     0.00     0.00     0.00        1  String#strip
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#each_with_index
  0.00      0.00     0.00     0.00     0.00        2  Kernel#==
  0.00      0.00     0.00     0.00     0.00        1  Array#insert
  0.00      0.00     0.00     0.00     0.00        1  Exception#to_s
  0.00      0.00     0.00     0.00     0.00        1  Exception#set_backtrace
  0.00      0.00     0.00     0.00     0.00        1  Module#private
  0.00      0.00     0.00     0.00     0.00        1  <Class::Regexp>#escape
  0.00      0.00     0.00     0.00     0.00        1  Kernel#untaint
  0.00      0.00     0.00     0.00     0.00        1  Array#unshift
  0.00      0.00     0.00     0.00     0.00        1  Kernel#singleton_method_added
  0.00      0.00     0.00     0.00     0.00        1  Array#length
  0.00      0.00     0.00     0.00     0.00        1  Exception#message
  0.00      0.00     0.00     0.00     0.00        1  NilClass#nil?
  0.00      0.00     0.00     0.00     0.00        1  Exception#backtrace


